epoch,train_loss,train_acc,val_acc
0,2.1215297319793702,24.134,37.73
1,1.5578931452178955,42.434,48.23
2,1.2388346193695068,55.352,53.42
3,1.0329599985122682,63.394,64.57
4,0.8814626951408386,69.108,68.54
5,0.7790752062988281,72.762,71.45
6,0.6930603583908082,75.818,72.64
7,0.6352130897331237,77.888,74.68
8,0.5903141757202148,79.388,76.31
9,0.552480425748825,80.89,77.58
10,0.5259696047019958,81.746,78.22
11,0.4992258308696747,82.642,80.37
12,0.4762085399627686,83.3,80.07
13,0.4564999502754211,84.244,81.17
14,0.43789069091796873,84.734,81.18
15,0.4198715944480896,85.36,82.23
16,0.40749011438369753,85.794,81.39
17,0.39545573698043823,86.278,82.4
18,0.3813700049781799,86.848,84.06
19,0.36936599082946775,87.212,85.27
20,0.35886006485939026,87.462,84.16
21,0.34733676475524905,87.932,83.69
22,0.3417428158664703,88.06,80.05
23,0.33793428112983703,88.274,83.91
24,0.3187929582309723,88.932,84.3
25,0.3151539105033874,89.102,82.01
26,0.31870783741950987,88.982,79.17
27,0.3093584330368042,89.232,83.49
28,0.30203858134746553,89.48,85.61
29,0.29464148797035217,89.688,85.31
30,0.28809366618156435,89.938,82.32
31,0.284951272354126,90.078,85.88
32,0.28139025315284727,90.07,85.51
33,0.27882195942878724,90.186,84.87
34,0.2725714669036865,90.424,83.13
35,0.2696290186023712,90.498,85.36
36,0.2679525264978409,90.726,80.85
37,0.2644279031276703,90.732,85.25
38,0.2607319563674927,90.796,84.04
39,0.25602778851509095,91.078,85.36
40,0.25104156427383423,91.234,86.44
41,0.24993860778808594,91.19,85.9
42,0.24466136613845826,91.412,83.73
43,0.24401933360099792,91.552,83.79
44,0.2379366253566742,91.622,84.46
45,0.23433317811965942,91.732,84.92
46,0.24504060068130493,91.3,84.06
47,0.23326331386566163,91.78,86.65
48,0.2269652358007431,92.012,85.63
49,0.23235079743385315,91.694,86.0
50,0.2219947257757187,92.242,83.11
51,0.22225241401672363,92.286,85.85
52,0.22311062561988831,92.174,85.41
53,0.2217061110687256,92.2,87.47
54,0.22506026545524596,92.174,85.48
55,0.2142539240550995,92.498,86.77
56,0.21755716232776642,92.246,86.32
57,0.21233925283432006,92.496,86.64
58,0.2146417725610733,92.48,86.29
59,0.2113530257987976,92.574,85.6
60,0.21356522512435913,92.462,87.79
61,0.20276840925693512,92.836,86.46
62,0.21006852412223817,92.586,85.49
63,0.20503219681739807,92.818,86.81
64,0.20680923588514327,92.696,86.75
65,0.20311313389778138,92.912,86.51
66,0.2027121884727478,92.9,86.24
67,0.19962604953289032,92.878,85.97
68,0.19838450363636018,93.082,87.39
69,0.19815477885723115,93.222,86.13
70,0.19225396901130676,93.204,84.71
71,0.19501443795204162,93.096,86.92
72,0.19872689800262452,93.018,87.48
73,0.18735239134788514,93.366,86.79
74,0.1948975969028473,93.214,86.89
75,0.19186355380535125,93.252,86.21
76,0.19069300843715667,93.22,87.3
77,0.18753239129066468,93.396,86.91
78,0.19194294123649597,93.392,86.14
79,0.185184451379776,93.542,88.53
80,0.1889869400691986,93.298,88.43
81,0.18096557788848877,93.722,86.61
82,0.1904004131937027,93.256,87.03
83,0.18518993280887605,93.534,85.11
84,0.18456129192352294,93.448,87.1
85,0.18599895485401152,93.564,86.96
86,0.18456434143543243,93.602,86.76
87,0.18264672029495238,93.602,87.1
88,0.17882113208532333,93.784,84.94
89,0.18256640263080598,93.616,87.8
90,0.1822572211265564,93.562,88.53
91,0.18007040278434752,93.768,86.36
92,0.18011058076858522,93.664,87.73
93,0.17545172271728515,93.702,87.87
94,0.1810126641559601,93.658,87.97
95,0.1846548829269409,93.394,87.22
96,0.16999608105659486,94.008,86.45
97,0.17994687384128571,93.67,87.64
98,0.18115083429574966,93.586,86.07
99,0.1745608653640747,93.884,87.4
100,0.09237632621526719,96.89,91.61
101,0.06440522954463959,98.0,91.97
102,0.05254012399673462,98.35,91.98
103,0.047235755639076234,98.498,92.15
104,0.043564163546562194,98.584,92.15
105,0.038318562279343604,98.798,92.14
106,0.03681757649898529,98.866,92.17
107,0.03268653485894203,99.0,92.19
108,0.03132417669057846,99.074,92.22
109,0.028739683667421342,99.124,92.12
110,0.028452449360489844,99.122,92.19
111,0.024690950294733047,99.25,92.35
112,0.024198589222431184,99.278,92.19
113,0.02203881307989359,99.356,92.29
114,0.022151301836371422,99.326,92.25
115,0.019423431900143624,99.472,92.16
116,0.01934372662872076,99.448,92.2
117,0.018844426882267,99.438,91.97
118,0.01823112369120121,99.46,92.21
119,0.017082869884967804,99.498,92.35
120,0.016221779591441155,99.518,92.42
