epoch,train_loss,train_acc,val_acc
53,0.31739869447231295,88.95,83.2
54,0.31667926245689393,88.954,84.93
55,0.31905678018569944,88.956,79.15
56,0.3163440575695038,88.942,84.5
57,0.31428429164886473,89.162,83.02
58,0.31427937273025514,89.03,81.63
59,0.30997886433124544,89.324,83.77
60,0.3087581577682495,89.21,85.01
61,0.30792377720832825,89.328,83.87
62,0.30945437373161316,89.204,83.79
63,0.3057109914970398,89.318,86.55
64,0.3058065401649475,89.306,84.18
65,0.305681527967453,89.43,83.04
66,0.30418983238220215,89.31,80.02
67,0.3046986258506775,89.374,84.52
68,0.30200195945739744,89.552,83.79
69,0.29746902741909026,89.578,85.34
70,0.29459141206741335,89.69,82.19
71,0.2983064273262024,89.644,81.93
72,0.29415252866744995,89.77,84.19
73,0.29403849199295046,89.888,84.63
74,0.29528816428184507,89.878,82.75
75,0.29347200132369994,89.734,84.04
76,0.2908601565170288,89.826,82.95
77,0.29271753209114076,89.838,80.87
78,0.2926352840423584,89.86,82.69
79,0.28644641735076903,90.08,85.52
80,0.2875931758546829,90.104,85.23
81,0.28526670770168305,90.12,83.6
82,0.2892642465019226,90.056,81.07
83,0.2867759130001068,90.052,84.71
84,0.28222479635238645,89.96,81.46
85,0.28882832426071164,89.966,80.83
86,0.288680025844574,90.028,85.56
87,0.28835344880580904,90.014,82.27
88,0.2820720309448242,90.312,84.99
89,0.284336982088089,90.216,85.19
90,0.2788307256126404,90.268,83.12
91,0.2800228170776367,90.102,83.29
92,0.2764095776939392,90.466,83.73
93,0.2823192901802063,90.216,83.45
94,0.2749478581905365,90.488,84.68
95,0.27713724102020265,90.238,85.82
96,0.27687697278022766,90.264,82.14
97,0.27366808997154235,90.414,84.69
98,0.28277934775352476,90.194,84.92
99,0.2743757776117325,90.48,83.89
100,0.175966527094841,93.916,90.13
101,0.14340759781837464,95.116,90.4
102,0.13339856236219405,95.406,90.72
103,0.12546550206661225,95.75,90.73
104,0.11939380226135254,95.918,90.73
105,0.1150509983253479,96.146,90.87
106,0.10844402401924133,96.344,90.91
107,0.10564747463703156,96.392,90.6
108,0.10510258160352708,96.262,90.8
109,0.10041363089561463,96.564,91.02
110,0.0959699378490448,96.682,90.86
111,0.09251172851324081,96.864,90.77
112,0.09206138688802719,96.904,91.02
113,0.09054600726366042,96.844,90.86
114,0.08419735637426376,97.062,90.75
115,0.08328372816681862,97.112,90.74
116,0.08126315951585769,97.206,91.02
117,0.07899268185853958,97.228,90.79
118,0.07821195318460464,97.198,90.76
119,0.07562535099983216,97.362,90.82
120,0.07826618677139283,97.294,91.05
121,0.07461897737503052,97.404,90.87
122,0.07116521928071975,97.546,90.97
123,0.07217043415904045,97.47,91.06
124,0.07066513450741768,97.602,90.96
125,0.07049558670520782,97.632,90.95
126,0.068865045876503,97.65,90.66
127,0.06607062478303909,97.77,90.87
128,0.06340776943206787,97.794,90.7
129,0.0651279206097126,97.622,91.01
130,0.06411639832258224,97.784,90.92
131,0.06366830157160759,97.78,90.5
132,0.06029458075046539,97.89,90.89
133,0.059392459905147556,97.944,90.82
134,0.062195314733982085,97.838,90.87
135,0.05895408710539341,98.028,91.04
136,0.060935311365127566,97.868,90.68
137,0.05735907732129097,98.036,90.59
138,0.05578354854702949,98.064,90.61
139,0.05830501556634903,97.962,90.63
140,0.05589925959050655,98.02,90.88
141,0.0558201685667038,98.058,90.74
142,0.055037011590003966,98.08,90.9
143,0.05331803597211838,98.166,90.63
144,0.05409640622198582,98.072,90.79
145,0.05319703623890877,98.16,90.62
146,0.05221840184211731,98.166,90.46
147,0.05194627885341644,98.214,90.38
148,0.052559916393756866,98.21,90.37
149,0.052657778107523916,98.216,90.43
150,0.04401831793785095,98.518,91.0
151,0.038294559725522995,98.762,90.88
152,0.03691153141260147,98.822,91.09
153,0.03445741213321686,98.916,90.95
154,0.03319712845563889,98.958,91.15
155,0.03354735499620438,98.978,91.24
156,0.03293318542897701,98.984,91.03
157,0.0334759927046299,98.96,91.22
158,0.0320774372124672,99.008,91.17
159,0.03242761920571327,98.952,91.31
160,0.03365382709562779,98.906,91.28
161,0.0320533484902978,99.02,91.32
162,0.032293664445132014,98.982,91.23
163,0.030221153841018675,99.098,91.2
164,0.029650054659843446,99.074,91.15
165,0.03039091174006462,99.052,91.09
166,0.029909748923778533,99.046,91.21
167,0.030272511672973634,99.072,91.2
168,0.029738559013605118,99.098,91.22
169,0.029443393350839616,99.142,91.32
170,0.02960354053258896,99.11,91.09
171,0.029536211562752723,99.056,91.1
172,0.02899748550891876,99.108,91.07
173,0.02807378586769104,99.138,91.2
174,0.02839013894557953,99.17,91.27
175,0.029188639075160026,99.072,91.24
176,0.02814382013082504,99.16,91.15
177,0.02690088470518589,99.192,91.28
178,0.02848717409849167,99.146,91.07
179,0.02849002449989319,99.136,91.16
180,0.02771227043569088,99.154,91.31
181,0.02815751797556877,99.134,91.24
182,0.026661659383028745,99.208,91.21
183,0.027734648216962813,99.17,91.27
184,0.025988247324824333,99.244,91.27
185,0.02611675725877285,99.23,91.19
186,0.02715933824315667,99.164,91.21
187,0.02756725074633956,99.18,91.1
188,0.02740075266957283,99.188,91.17
189,0.02571337703064084,99.236,91.05
190,0.0269523299908638,99.136,91.24
191,0.026514451767206192,99.206,91.07
192,0.02696729452520609,99.212,91.05
193,0.02725532608628273,99.164,91.16
194,0.024830647349357606,99.278,91.2
195,0.02558092863112688,99.252,91.17
196,0.025382465251684187,99.206,91.17
197,0.02562437876880169,99.19,91.15
198,0.025850274913311006,99.226,91.18
199,0.025461095920205117,99.22,91.09
